name,rating,numberofbik,WatchthisMonth,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,chef restaurant,sitting outside,smoke area,sea food,coffe shop,delivery,burger shop,online order,Converted_Kosher,Price_Convert
253,8.6,1929,839,1,0,0,0,0,1,1,0,0,0,0,0,0,1
254,8.7,3363,1177,0,0,1,0,0,1,1,0,0,1,0,1,1,2
255,8.3,824,522,1,0,0,0,0,0,0,0,0,1,0,1,1,0
256,8.5,1005,1154,1,0,0,0,0,0,0,0,0,1,0,1,0,1
257,8.4,27,71,0,0,1,0,0,0,0,0,0,0,0,0,1,1
258,8.0,1843,548,0,0,0,0,0,0,0,0,1,0,0,0,0,1
259,8.6,65,332,0,0,0,0,0,1,1,0,1,1,0,0,0,1
260,8.7,3421,1843,0,0,1,0,0,1,1,0,0,1,1,1,0,1
261,8.8,807,503,0,1,0,0,0,1,0,0,0,1,0,0,0,0
262,8.3,598,847,1,0,1,0,0,0,0,0,0,1,0,1,1,0
263,8.0,1479,245,0,1,0,0,0,0,0,0,1,1,0,1,1,1
264,8.1,1767,502,0,1,0,0,0,1,1,0,1,1,0,1,0,1
265,8.8,414,218,0,1,0,0,0,1,0,0,1,0,0,0,1,1
266,8.2,46,66,0,0,1,0,0,0,0,0,0,0,0,0,0,1
267,8.3,302,186,0,1,0,0,0,0,1,0,1,1,0,1,1,0
268,8.4,478,76,0,0,1,0,0,0,0,0,1,0,0,0,0,1
269,8.2,2847,399,0,0,1,0,0,1,1,0,0,1,1,1,0,1
270,8.2,891,254,1,0,1,0,0,0,0,0,0,1,0,1,1,1
271,7.2,22,141,0,0,1,0,0,0,0,0,1,0,0,0,0,1
273,9.1,539,672,0,0,1,0,0,1,1,0,0,0,0,0,1,0
276,8.5,589,1074,0,1,0,0,0,0,0,0,1,1,0,0,1,1
277,8.7,1161,1318,0,0,1,0,0,0,0,0,0,1,1,1,1,1
279,8.5,69,884,0,1,0,0,0,0,0,0,0,1,0,0,1,1
280,8.4,712,1479,0,0,1,0,0,1,1,0,0,1,1,1,0,1
281,8.8,3321,651,0,0,0,0,0,1,1,0,1,1,0,1,1,1
283,7.8,722,311,1,0,1,0,0,0,0,0,0,1,0,1,1,1
284,8.1,2170,493,0,0,1,0,0,1,1,0,0,1,1,1,0,1
285,8.3,1534,293,0,1,0,0,0,0,0,0,1,1,0,1,1,1
286,7.8,534,891,0,0,1,0,0,0,0,0,0,1,0,1,0,1
287,8.0,1277,306,0,1,1,0,0,1,1,0,1,0,0,0,0,1
288,7.1,90,111,1,0,0,0,0,0,0,0,0,1,0,1,0,1
289,8.5,315,477,0,0,1,0,0,1,0,0,0,1,0,1,1,0
290,8.1,1057,479,1,0,1,0,0,1,0,0,0,1,0,1,1,1
291,8.7,223,382,0,1,0,0,0,1,0,0,0,1,0,0,1,0
292,8.0,538,354,1,0,0,0,0,0,0,0,0,1,0,1,0,1
293,8.6,1318,339,0,0,1,0,0,0,0,0,0,1,0,0,1,0
294,8.2,56,613,0,0,1,0,0,0,0,0,0,1,1,1,1,1
297,8.5,80,245,0,1,0,0,0,0,0,0,0,1,0,1,1,0
298,7.1,1830,225,0,0,0,0,0,0,0,0,1,1,0,1,1,1
299,8.2,523,109,0,0,1,0,0,0,0,0,0,1,0,1,1,0
300,8.5,480,222,0,0,0,0,0,1,0,0,1,0,0,0,0,1
303,8.5,30,293,0,0,1,0,0,1,0,0,0,1,0,0,1,1
304,8.2,230,1182,0,1,0,0,0,0,0,0,0,1,0,1,0,1
305,7.7,1340,310,0,0,0,0,0,0,0,0,1,1,0,1,1,1
306,8.0,6499,820,0,1,0,0,0,1,1,0,0,1,0,1,0,1
307,7.6,1402,112,0,0,0,0,0,1,1,0,1,0,0,0,0,1
308,8.3,13,176,0,0,1,0,0,0,0,0,0,1,1,0,1,1
309,8.7,218,136,0,0,1,0,0,0,1,0,0,1,0,0,0,0
310,7.2,120,216,0,1,0,0,0,0,0,0,1,1,0,1,1,1
311,8.5,140,301,0,0,1,0,0,0,0,0,0,1,0,0,1,1
312,8.8,68,1049,0,0,0,0,0,1,0,0,1,0,0,0,1,1
313,8.0,22,341,0,0,1,0,0,0,0,0,0,1,1,1,1,1
314,7.3,347,192,0,1,0,0,0,1,1,0,0,1,0,1,1,1
315,8.3,33,57,0,1,0,0,0,1,0,0,0,1,0,1,1,1
318,8.0,3363,512,1,0,0,0,0,1,1,0,0,1,0,1,1,1
319,7.2,544,145,1,0,0,0,0,0,0,0,0,1,0,1,1,1
320,8.2,827,767,0,1,0,0,0,1,0,0,0,1,0,1,1,1
321,8.1,1568,192,0,0,1,0,0,1,0,0,0,0,0,0,0,1
322,8.5,882,230,0,1,0,0,0,1,0,0,0,1,0,1,0,1
323,8.4,85,552,0,0,1,0,0,0,0,0,0,1,1,1,0,1
324,7.8,275,341,1,0,0,0,0,1,0,0,0,1,0,0,1,1
325,8.8,804,1044,0,0,1,0,0,0,0,0,0,1,0,1,1,1
326,8.3,602,403,0,0,1,0,0,1,1,0,0,1,0,0,1,0
327,8.9,730,401,0,1,0,0,0,1,0,0,1,0,0,0,1,0
328,8.7,3524,1023,0,0,1,0,0,1,1,0,0,1,0,1,1,1
330,8.3,541,334,0,1,0,0,0,1,0,0,0,1,0,1,0,1
332,8.1,1961,235,0,1,0,0,0,1,1,0,1,1,0,1,1,1
334,8.4,31,967,0,0,0,0,0,0,1,0,0,0,1,0,0,1
335,8.5,14,733,0,0,1,0,0,1,0,0,0,1,0,0,1,1
336,8.5,19,928,0,1,0,0,0,1,0,0,0,1,0,1,1,0
337,8.4,61,149,0,0,1,0,0,1,1,0,1,1,1,0,0,1
338,7.8,323,161,0,1,0,0,0,1,1,0,1,0,0,0,1,0
339,8.5,265,687,0,0,1,0,0,1,1,0,0,1,0,1,1,1
340,8.5,3664,639,0,0,0,0,0,1,1,0,1,1,0,1,0,1
341,8.3,16,310,0,1,0,0,0,0,0,0,0,0,0,0,1,1
342,8.6,1997,600,1,0,0,0,0,1,1,0,0,1,0,1,1,1
343,7.4,72,453,1,1,0,0,0,1,0,0,0,1,0,1,1,1
