name,rating,numberofbik,price,WatchthisMonth,Kosher,Address,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,chef restaurant,sitting outside,smoke area,sea food,coffe shop,delivery,burger shop,online order,City,Street,Converted_Kosher,Price_Convert
פלאפל רבי עקיבא,8.2,942,מחיר זול,529,כשר,"רבי עקיבא 31, בני ברק",0,0,1,0,0,0,0,0,0,1,0,0,בני ברק,רבי עקיבא 31,1,0
בונה פורטונה,8.2,113,מחיר סביר,217,כשר,"הפטיש 2, טירת כרמל",0,1,0,0,0,1,1,0,0,1,0,1,טירת כרמל,הפטיש 2,1,1
שנייצל,8.2,58,מחיר סביר,318,כשר,"דרך ארץ 41, חריש",0,0,1,0,0,0,0,0,0,1,0,0,חריש,דרך ארץ 41,1,1
קפה קפה,7.6,75,מחיר סביר,129,כשר,"עופר גרנד קניון, באר שבע",0,0,0,0,0,0,0,0,1,0,0,0,באר שבע,עופר גרנד קניון,1,1
זה סושי,8.5,718,מחיר סביר,672,לא כשר,"ההגנה 13, ראשון לציון",1,0,0,0,0,0,0,0,0,1,0,1,ראשון לציון,ההגנה 13,0,1
רוזה אקספרס,7.8,976,מחיר סביר,439,כשר,"עופר רחובות, רחובות",0,0,1,0,0,0,0,0,0,1,1,1,רחובות,עופר רחובות,1,1
בארכה,8.7,5682,מחיר סביר,1476,כשר,"הרצל 7, גדרה",0,0,1,0,0,1,1,0,0,1,0,1,גדרה,הרצל 7,1,1
טאטי,8.3,5046,מחיר סביר,894,לא כשר,"דרך השלום 53, גבעתיים",0,1,0,0,0,1,1,0,1,1,0,1,גבעתיים,דרך השלום 53,0,1
רוסטיקו,9.1,4050,מחיר סביר,1655,לא כשר,"שדרות רוטשילד 15, תל אביב יפו",0,1,0,0,0,1,0,0,0,1,0,1,תל אביב יפו,שדרות רוטשילד 15,0,1
אווז 6,8.5,921,מחיר זול,155,כשר,"המלאכה 6, לוד",0,0,1,1,0,1,1,0,0,0,0,0,לוד,המלאכה 6,1,0
רוזטה,8,114,מחיר סביר,588,כשר,"אחוזה 141, רעננה",0,1,0,0,0,1,1,0,0,1,0,1,רעננה,אחוזה 141,1,1
לצ'ה מטבח איטלקי,8.7,53,מחיר סביר,563,לא כשר,"פז, אזור העמקים",0,1,0,0,0,1,1,0,0,1,0,0,אזור העמקים,פז,0,1
שואו קפה,8.4,353,מחיר סביר,107,כשר,"עופר לב חדרה, חדרה",0,1,0,0,0,1,1,0,1,1,0,1,חדרה,עופר לב חדרה,1,1
סטקיית אביקו,8.5,872,מחיר זול,451,כשר,"שדרות הרצל 60, רמלה",0,0,1,0,0,1,1,0,0,0,0,0,רמלה,שדרות הרצל 60,1,0
JLM סושי מקומי,8.3,488,מחיר סביר,151,כשר,"דוד המלך 10, ירושלים",1,0,1,0,0,1,0,0,0,1,0,1,ירושלים,דוד המלך 10,1,1
מסעדת יונס,8.2,2569,מחיר סביר,766,לא כשר,"דרור, אבן יהודה",0,0,1,0,0,0,1,0,1,0,0,0,אבן יהודה,דרור,0,1
צ'וקה,7.7,1088,מחיר סביר,245,כשר,"קניון סינמול, חיפה",1,0,1,0,0,0,0,0,0,1,0,1,חיפה,קניון סינמול,1,1
קפה נמרוד,7.8,719,מחיר סביר,332,כשר,"אגמון מרקט, צומת אגמון החולה",0,1,0,0,0,1,0,0,1,0,0,0,צומת אגמון החולה,אגמון מרקט,1,1
קסטל,8.8,3413,מחיר סביר,990,לא כשר,"מרכז סיטי, אשדוד",0,0,1,0,0,1,0,1,0,0,0,0,אשדוד,מרכז סיטי,0,1
טיב הבשר,9.1,368,מחיר זול,648,לא כשר,"דרך עכו חיפה 140, קרית ביאליק (מרכז צבר)",0,0,1,0,0,0,0,0,0,1,0,0,קרית ביאליק ,דרך עכו חיפה 140,0,0
